Date,Open,High,Low,Close,Adj Close,Volume
2020-04-21,3710.000000,3740.000000,3610.000000,3640.000000,2719.785645,36590700
2020-04-22,3600.000000,3660.000000,3450.000000,3640.000000,2719.785645,76750500
2020-04-23,3700.000000,3790.000000,3650.000000,3760.000000,2809.449219,85068700
2020-04-24,3760.000000,3760.000000,3610.000000,3630.000000,2712.313721,49597000
2020-04-27,3670.000000,3760.000000,3570.000000,3710.000000,2772.089355,45682200
2020-04-28,3750.000000,3790.000000,3630.000000,3740.000000,2794.505127,53532700
2020-04-29,3770.000000,3780.000000,3650.000000,3690.000000,2757.145508,40557200
2020-04-30,3750.000000,3860.000000,3720.000000,3850.000000,2876.696777,92257000
2020-05-04,3750.000000,3750.000000,3610.000000,3610.000000,2697.369873,71301800
2020-05-05,3630.000000,3660.000000,3580.000000,3610.000000,2697.369873,54983300
2020-05-06,3610.000000,3680.000000,3580.000000,3640.000000,2719.785645,70425000
2020-05-08,3690.000000,3740.000000,3600.000000,3740.000000,2794.505127,63346500
2020-05-11,3760.000000,3920.000000,3750.000000,3920.000000,2929.000244,79511800
2020-05-12,3920.000000,3920.000000,3780.000000,3820.000000,2854.280762,58347900
2020-05-13,3820.000000,3820.000000,3710.000000,3730.000000,2787.032959,44974600
2020-05-14,3700.000000,3710.000000,3530.000000,3570.000000,2667.482178,80570900
2020-05-15,3590.000000,3720.000000,3560.000000,3710.000000,2772.089355,65284900
2020-05-18,3720.000000,3950.000000,3710.000000,3910.000000,2921.528076,88368200
2020-05-19,4000.000000,4040.000000,3940.000000,3950.000000,2951.416016,77238800
2020-05-20,3950.000000,3980.000000,3870.000000,3970.000000,2966.359863,38965700
2020-05-26,3970.000000,4360.000000,3970.000000,4330.000000,3235.349609,116041900
2020-05-27,4350.000000,4390.000000,4220.000000,4350.000000,3250.293213,68841200
2020-05-28,4370.000000,4580.000000,4350.000000,4540.000000,3392.260010,86825700
2020-05-29,4520.000000,4770.000000,4470.000000,4770.000000,3564.114502,164786500
2020-06-02,4760.000000,4950.000000,4630.000000,4730.000000,3534.227295,72425900
2020-06-03,4750.000000,4950.000000,4680.000000,4890.000000,3653.778076,76654100
2020-06-04,4950.000000,4960.000000,4740.000000,4760.000000,3556.643066,82711000
2020-06-05,4780.000000,5025.000000,4670.000000,5000.000000,3735.969238,63578800
2020-06-08,5250.000000,5250.000000,4990.000000,5025.000000,3754.650146,53808200
2020-06-09,5100.000000,5125.000000,4980.000000,5000.000000,3735.969238,43049500
2020-06-10,5025.000000,5025.000000,4650.000000,4850.000000,3623.890625,39812900
2020-06-11,4840.000000,4840.000000,4660.000000,4700.000000,3511.811035,53920100
2020-06-12,4590.000000,4820.000000,4400.000000,4790.000000,3579.058594,45837700
2020-06-15,4800.000000,4850.000000,4700.000000,4740.000000,3541.699219,42880500
2020-06-16,4800.000000,5000.000000,4800.000000,4970.000000,3713.553467,38736700
2020-06-17,4990.000000,5000.000000,4910.000000,4970.000000,3713.553467,24744500
2020-06-18,4970.000000,4970.000000,4800.000000,4800.000000,3586.530518,40331900
2020-06-19,4830.000000,4910.000000,4800.000000,4890.000000,3653.778076,62874800
2020-06-22,4930.000000,4940.000000,4850.000000,4890.000000,3653.778076,25097200
2020-06-23,4890.000000,4940.000000,4850.000000,4900.000000,3661.250488,29490500
2020-06-24,4920.000000,5050.000000,4900.000000,5000.000000,3735.969238,55421700
2020-06-25,4840.000000,4920.000000,4800.000000,4900.000000,3779.940918,34952700
2020-06-26,4950.000000,4950.000000,4900.000000,4900.000000,3779.940918,24019200
2020-06-29,4900.000000,4900.000000,4750.000000,4800.000000,3702.798584,29368700
2020-06-30,4840.000000,4880.000000,4800.000000,4800.000000,3702.798584,25197000
2020-07-01,4800.000000,4860.000000,4770.000000,4810.000000,3710.512695,22586000
2020-07-02,4830.000000,4890.000000,4810.000000,4870.000000,3756.798096,26575000
2020-07-03,4880.000000,4910.000000,4840.000000,4850.000000,3741.369385,20400200
2020-07-06,4860.000000,4900.000000,4840.000000,4840.000000,3733.655518,17783800
2020-07-07,4900.000000,4910.000000,4800.000000,4830.000000,3725.941162,46178600
2020-07-08,4840.000000,4930.000000,4770.000000,4910.000000,3787.654297,45246000
2020-07-09,4930.000000,5000.000000,4880.000000,4900.000000,3779.940918,33377800
2020-07-10,4880.000000,4920.000000,4830.000000,4830.000000,3725.941162,23181700
2020-07-13,4850.000000,4910.000000,4850.000000,4900.000000,3779.940918,22481400
2020-07-14,4900.000000,4950.000000,4880.000000,4950.000000,3818.510986,22418400
2020-07-15,4990.000000,5200.000000,4970.000000,5150.000000,3972.794678,64249400
2020-07-16,5150.000000,5350.000000,5150.000000,5250.000000,4049.936035,72113500
2020-07-17,5300.000000,5300.000000,5200.000000,5200.000000,4011.364990,46235300
2020-07-20,5200.000000,5225.000000,5025.000000,5100.000000,3934.223877,24829000
2020-07-21,5100.000000,5450.000000,5100.000000,5375.000000,4146.363281,51878900
2020-07-22,5375.000000,5400.000000,5200.000000,5300.000000,4088.506592,29493500
2020-07-23,5300.000000,5325.000000,5125.000000,5175.000000,3992.079590,27787400
2020-07-24,5175.000000,5175.000000,5000.000000,5050.000000,3895.652588,32338100
2020-07-27,5075.000000,5150.000000,5025.000000,5125.000000,3953.509033,17645200
2020-07-28,5175.000000,5225.000000,5100.000000,5175.000000,3992.079590,30210400
2020-07-29,5175.000000,5225.000000,5050.000000,5075.000000,3914.938232,32010100
2020-07-30,5025.000000,5225.000000,5000.000000,5150.000000,3972.794678,32720500
2020-08-03,5100.000000,5150.000000,4860.000000,4880.000000,3764.512207,66053200
2020-08-04,4900.000000,4960.000000,4900.000000,4960.000000,3826.224854,32307000
2020-08-05,4970.000000,5100.000000,4950.000000,5050.000000,3895.652588,22883900
2020-08-06,5075.000000,5225.000000,5050.000000,5225.000000,4030.650879,45906700
2020-08-07,5225.000000,5300.000000,5100.000000,5275.000000,4069.221436,35036700
2020-08-10,5275.000000,5275.000000,5125.000000,5125.000000,3953.509033,30588200
2020-08-11,5175.000000,5250.000000,5150.000000,5225.000000,4030.650879,19877700
2020-08-12,5225.000000,5400.000000,5175.000000,5400.000000,4165.648926,31304300
2020-08-13,5450.000000,5550.000000,5375.000000,5400.000000,4165.648926,36344700
2020-08-14,5400.000000,5450.000000,5350.000000,5375.000000,4146.363281,15337700
2020-08-18,5325.000000,5450.000000,5300.000000,5375.000000,4146.363281,34974800
2020-08-19,5425.000000,5425.000000,5250.000000,5300.000000,4088.506592,24870200
2020-08-24,5300.000000,5350.000000,5250.000000,5300.000000,4088.506592,20000900
2020-08-25,5325.000000,5375.000000,5300.000000,5300.000000,4088.506592,27807900
2020-08-26,5400.000000,5400.000000,5275.000000,5350.000000,4127.077637,29957700
2020-08-27,5375.000000,5400.000000,5250.000000,5300.000000,4088.506592,27491500
2020-08-28,5300.000000,5325.000000,5275.000000,5325.000000,4107.791992,20347900
2020-08-31,5325.000000,5350.000000,5100.000000,5100.000000,3934.223877,42240600
2020-09-01,5175.000000,5250.000000,5100.000000,5250.000000,4049.936035,20881000
2020-09-02,5300.000000,5350.000000,5200.000000,5300.000000,4088.506592,19074500
2020-09-03,5350.000000,5350.000000,5125.000000,5175.000000,3992.079590,38323300
2020-09-04,5100.000000,5150.000000,5025.000000,5050.000000,3895.652588,47966200
2020-09-07,5050.000000,5075.000000,4950.000000,5025.000000,3876.367676,37120700
2020-09-08,5025.000000,5125.000000,5025.000000,5125.000000,3953.509033,22790200
2020-09-09,5025.000000,5025.000000,4900.000000,4900.000000,3779.940918,62626200
2020-09-10,4560.000000,4610.000000,4560.000000,4560.000000,3517.658691,142910700
2020-09-11,4350.000000,4700.000000,4310.000000,4630.000000,3571.657959,76725700
2020-09-14,4780.000000,4830.000000,4700.000000,4790.000000,3695.084229,57904800
2020-09-15,4850.000000,4870.000000,4770.000000,4820.000000,3718.227295,35809700
2020-09-16,4850.000000,4860.000000,4780.000000,4780.000000,3687.370605,21529200
2020-09-17,4770.000000,4880.000000,4770.000000,4860.000000,3749.083496,26234600
2020-09-18,4840.000000,4870.000000,4760.000000,4780.000000,3687.370605,46011300
2020-09-21,4790.000000,4800.000000,4620.000000,4670.000000,3602.514648,23388100
